guest_id,country,loyalty_tier,total_stays,total_spend_eur,avg_lead_time_days,preferred_segment,enrolled_date,email_opt_in
G000125,ESP,Bronze,3,588.36,59,Offline TA/TO,2020-02-01,N
G000126,ITA,Bronze,1,259.58,26,Complementary,2020-04-26,Y
G000127,ITA,Bronze,1,281.04,110,Online TA,2021-03-28,Y
G000128,BRA,Silver,8,1527.35,118,Complementary,2015-07-30,N
G000129,USA,Silver,4,549.76,35,Direct,2018-12-05,N
G000130,NLD,Bronze,2,616.38,85,Complementary,2022-03-17,Y
G000131,DEU,Silver,10,1287.12,50,Offline TA/TO,2015-01-26,Y
G000132,PRT,Gold,23,2721.04,18,Complementary,2020-12-12,Y
G000133,ITA,Bronze,2,328.28,106,Groups,2021-09-08,Y
G000134,DEU,Gold,30,7859.15,63,Complementary,2019-10-03,N
G000135,BRA,Silver,6,664.38,21,Offline TA/TO,2022-08-09,N
G000136,PRT,Silver,4,1383.2,7,Online TA,2018-05-19,Y
G000137,BRA,Silver,6,492.52,29,Online TA,2019-04-07,Y
G000138,PRT,Silver,10,1872.09,62,Direct,2020-02-27,Y
G000139,BRA,Gold,29,7875.38,44,Direct,2019-07-18,Y
G000140,ITA,Platinum,89,27113.58,18,Corporate,2016-03-09,Y
G000141,ITA,Bronze,2,630.08,35,Offline TA/TO,2023-09-27,Y
G000142,ITA,Bronze,3,397.06,51,Complementary,2022-03-28,Y
G000143,GBR,Bronze,1,242.65,29,Complementary,2020-07-16,N
G000144,ITA,Silver,7,2193.43,26,Corporate,2015-10-07,N
G000145,GBR,Bronze,2,350.05,46,Corporate,2020-01-26,Y
G000146,NLD,Bronze,2,367.62,77,Complementary,2015-06-18,N
G000147,CHN,Gold,17,4136.98,26,Direct,2020-01-20,Y
G000148,PRT,Gold,13,3307.91,38,Complementary,2019-11-29,N
G000149,BRA,Silver,5,1639.21,59,Offline TA/TO,2022-08-12,Y
G000150,BRA,Silver,6,633.1,43,Offline TA/TO,2023-02-12,Y
G000151,BRA,Bronze,3,491.29,23,Groups,2022-12-13,Y
G000152,CHN,Bronze,2,521.86,18,Complementary,2022-07-09,N
G000153,ITA,Silver,6,2020.89,105,Corporate,2017-02-25,Y
G000154,CHN,Platinum,43,9334.28,113,Complementary,2020-11-26,Y
G000155,FRA,Silver,5,608.24,113,Complementary,2023-08-25,Y
G000156,NLD,Silver,7,2392.52,43,Complementary,2023-10-16,N
G000157,NLD,Bronze,1,179.32,63,Corporate,2023-08-18,N
G000158,NLD,Silver,8,2404.49,24,Offline TA/TO,2015-08-02,N
G000159,FRA,Gold,27,4238.11,41,Corporate,2020-10-03,Y
G000160,BRA,Gold,25,8280.69,13,Corporate,2020-08-18,N
G000161,GBR,Bronze,1,166.04,114,Complementary,2022-04-16,N
G000162,FRA,Silver,4,1071.76,104,Complementary,2020-04-05,N
G000163,CHN,Silver,4,1221.76,100,Groups,2020-12-01,N
G000164,BRA,Bronze,2,185.78,88,Groups,2020-02-16,Y
G000165,NLD,Bronze,2,501.26,37,Complementary,2016-08-11,N
G000166,GBR,Bronze,3,391.72,74,Offline TA/TO,2015-10-05,Y
G000167,PRT,Bronze,2,296.97,52,Direct,2018-11-13,Y
G000168,ITA,Silver,4,464.08,76,Offline TA/TO,2022-03-17,Y
G000169,GBR,Gold,26,7776.71,98,Corporate,2015-06-01,N
G000170,CHN,Bronze,1,219.15,67,Offline TA/TO,2015-05-30,Y
G000171,ITA,Bronze,1,113.61,62,Corporate,2023-05-03,N
G000172,ITA,Gold,16,4269.74,109,Groups,2017-12-28,Y
G000173,ITA,Silver,7,1590.95,20,Direct,2018-09-05,N
G000174,ITA,Bronze,3,798.71,64,Direct,2023-02-25,N
G000175,BRA,Silver,6,1567.32,53,Groups,2023-12-26,Y
G000176,GBR,Platinum,87,7777.43,37,Complementary,2019-02-09,N
G000177,ITA,Bronze,3,790.04,54,Corporate,2023-07-23,Y
G000178,ESP,Silver,6,1532.29,21,Direct,2023-04-02,Y
G000179,USA,Bronze,2,578.48,34,Groups,2018-03-15,N
G000180,USA,Bronze,1,126.62,18,Complementary,2018-08-02,N
G000181,FRA,Silver,8,2478.94,108,Offline TA/TO,2020-09-14,Y
G000182,PRT,Bronze,1,293.4,53,Groups,2021-06-02,N
G000183,BRA,Bronze,3,293.26,98,Complementary,2020-05-14,N
G000184,USA,Silver,4,1013.73,66,Complementary,2020-10-20,N
G000185,FRA,Bronze,3,861.9,62,Groups,2015-08-15,Y
G000186,ESP,Silver,5,1661.9,51,Groups,2018-03-09,Y
G000187,NLD,Bronze,3,746.27,75,Direct,2020-08-20,Y
G000188,NLD,Silver,5,1537.42,12,Direct,2015-11-29,Y
G000189,PRT,Gold,17,4197.12,70,Complementary,2021-02-12,N
G000190,GBR,Silver,7,1122.15,95,Direct,2016-10-09,N
G000191,ITA,Bronze,2,328.79,100,Offline TA/TO,2019-06-22,Y
G000192,GBR,Silver,8,1162.15,41,Corporate,2017-10-12,Y
G000193,FRA,Bronze,2,294.07,111,Offline TA/TO,2021-06-24,N
G000194,DEU,Bronze,1,214.67,70,Direct,2016-01-04,N
G000195,DEU,Silver,5,465.69,70,Groups,2022-05-03,N
G000196,DEU,Bronze,1,116.16,100,Offline TA/TO,2023-07-26,N
G000197,DEU,Bronze,2,355.76,16,Corporate,2020-08-27,N
G000198,GBR,Silver,10,1147.39,57,Offline TA/TO,2023-11-30,N
G000199,BRA,Silver,10,2426.65,71,Direct,2015-07-05,Y
G000200,NLD,Bronze,2,406.77,72,Online TA,2018-09-05,N
G000201,CHN,Bronze,3,650.93,75,Corporate,2022-12-12,N
G000202,NLD,Bronze,1,344.57,46,Complementary,2022-09-19,Y
G000203,NLD,Silver,9,2473.0,68,Online TA,2020-11-17,N
G000204,USA,Bronze,3,394.54,47,Corporate,2016-09-12,N
G000205,PRT,Silver,8,2525.29,97,Online TA,2020-10-25,Y
G000206,FRA,Silver,7,1152.99,65,Groups,2018-11-03,N
G000207,ESP,Silver,9,1187.2,42,Groups,2018-05-07,Y
G000208,USA,Gold,20,5327.3,47,Corporate,2018-11-29,N
G000209,BRA,Bronze,3,965.57,111,Offline TA/TO,2023-09-02,Y
G000210,DEU,Bronze,2,658.97,102,Corporate,2017-05-26,Y
G000211,NLD,Gold,19,2080.33,37,Online TA,2015-07-27,Y
G000212,GBR,Silver,4,1094.75,94,Online TA,2015-01-22,Y
G000213,PRT,Bronze,2,333.43,105,Direct,2022-04-25,Y
G000214,FRA,Silver,10,1928.29,11,Corporate,2023-11-02,N
G000215,NLD,Bronze,3,247.51,84,Direct,2018-10-04,N
G000216,FRA,Bronze,3,960.3,115,Groups,2020-04-01,N
G000217,FRA,Bronze,1,255.04,8,Complementary,2018-10-12,N
G000218,CHN,Silver,5,1516.44,48,Direct,2019-06-30,Y
G000219,BRA,Bronze,1,81.84,37,Corporate,2023-06-15,N
G000220,ITA,Platinum,32,4819.82,95,Online TA,2015-09-12,Y
G000221,DEU,Bronze,1,266.38,54,Groups,2017-06-23,Y
G000222,CHN,Platinum,78,14997.71,67,Groups,2023-12-29,Y
G000223,CHN,Silver,10,2218.87,97,Offline TA/TO,2015-11-16,Y
G000224,ITA,Bronze,3,361.38,116,Groups,2019-12-15,Y
G000225,USA,Silver,8,2581.6,110,Direct,2020-02-01,Y
G000226,DEU,Silver,8,2093.18,99,Direct,2019-06-10,N
G000227,ITA,Gold,29,2674.62,96,Direct,2021-01-25,Y
G000228,FRA,Gold,12,2284.73,105,Complementary,2023-03-07,N
G000229,CHN,Bronze,2,203.33,24,Complementary,2018-11-25,Y
G000230,ESP,Bronze,3,829.57,113,Direct,2023-06-25,Y
G000231,ESP,Platinum,85,19007.88,38,Corporate,2018-11-18,Y
G000232,BRA,Bronze,3,895.68,85,Direct,2017-09-12,Y
G000233,PRT,Bronze,3,438.23,58,Corporate,2017-08-17,Y
G000234,NLD,Silver,5,716.12,47,Groups,2021-09-15,N
G000235,DEU,Bronze,1,191.66,14,Groups,2021-08-20,Y
G000236,BRA,Silver,8,2740.15,107,Groups,2018-07-29,N
G000237,ESP,Bronze,2,415.7,45,Complementary,2016-08-14,N
G000238,ESP,Gold,24,2788.92,39,Online TA,2018-09-14,Y
G000239,BRA,Gold,28,2629.62,93,Groups,2021-10-05,Y
G000240,ITA,Gold,29,6073.66,45,Direct,2017-05-17,Y
G000241,ESP,Platinum,62,16604.78,57,Online TA,2021-03-11,N
G000242,ITA,Silver,7,1142.92,72,Corporate,2020-03-23,Y
G000243,BRA,Gold,21,3781.9,12,Groups,2017-06-25,Y
G000244,ESP,Bronze,3,479.11,49,Online TA,2019-04-05,Y
G000245,USA,Bronze,3,858.32,99,Complementary,2023-04-18,N
G000246,CHN,Bronze,3,353.37,69,Online TA,2021-01-29,Y
G000247,ESP,Silver,10,1913.46,15,Complementary,2016-09-10,Y
G000248,PRT,Bronze,2,516.01,7,Groups,2021-03-09,N
G000249,PRT,Bronze,3,1031.76,71,Complementary,2022-07-23,N
G000250,ESP,Gold,14,1682.83,86,Groups,2017-10-30,N
G000251,ESP,Bronze,2,407.86,96,Online TA,2018-05-13,Y
G000252,BRA,Silver,10,1894.25,77,Corporate,2015-08-18,Y
G000253,GBR,Silver,7,1629.47,74,Direct,2017-07-30,Y
G000254,GBR,Gold,26,2406.87,94,Offline TA/TO,2021-02-02,Y
G000255,BRA,Bronze,2,566.22,16,Offline TA/TO,2016-10-27,Y
G000256,FRA,Silver,9,1652.75,108,Complementary,2023-02-14,Y
G000257,GBR,Silver,4,570.72,50,Groups,2023-08-16,N
G000258,ITA,Platinum,88,18696.74,77,Corporate,2019-11-04,Y
G000259,GBR,Silver,7,2068.32,17,Offline TA/TO,2016-09-23,N
G000260,GBR,Silver,5,886.95,7,Offline TA/TO,2019-12-27,N
G000261,CHN,Silver,5,981.82,78,Groups,2019-07-30,Y
G000262,PRT,Bronze,2,626.41,44,Corporate,2019-05-08,Y
G000263,BRA,Silver,5,628.94,28,Online TA,2018-01-06,N
G000264,DEU,Bronze,1,154.51,68,Direct,2019-01-19,N
G000265,FRA,Gold,26,5294.19,45,Direct,2019-06-09,N
G000266,NLD,Gold,21,3577.95,24,Offline TA/TO,2018-08-06,Y
G000267,USA,Bronze,1,278.42,80,Online TA,2018-08-27,N
G000268,CHN,Bronze,2,479.8,30,Complementary,2023-08-11,Y
G000269,GBR,Platinum,87,25697.63,111,Corporate,2022-07-19,N
G000270,BRA,Bronze,2,546.23,16,Corporate,2021-09-15,N
G000271,ITA,Silver,8,719.41,96,Groups,2021-08-29,Y
G000272,PRT,Bronze,1,254.69,79,Complementary,2022-08-06,N
G000273,DEU,Platinum,44,3645.31,35,Groups,2023-05-18,Y
G000274,PRT,Bronze,2,241.4,68,Direct,2018-04-25,N
G000275,USA,Gold,15,2463.16,107,Online TA,2020-11-04,N
G000276,PRT,Bronze,1,98.14,110,Complementary,2016-04-16,Y
G000277,CHN,Gold,16,3509.09,27,Offline TA/TO,2021-04-12,N
G000278,BRA,Platinum,54,7037.52,57,Direct,2023-04-09,Y
G000279,GBR,Bronze,2,271.12,80,Direct,2023-12-19,Y
G000280,USA,Bronze,1,261.09,74,Complementary,2018-07-07,N
G000281,NLD,Silver,4,1233.16,29,Complementary,2022-12-01,N
G000282,DEU,Gold,15,1677.34,21,Online TA,2019-03-10,Y
G000283,USA,Silver,8,1553.76,88,Groups,2022-10-11,Y
G000284,USA,Silver,6,989.62,86,Direct,2019-01-10,Y
G000285,BRA,Bronze,1,256.33,94,Corporate,2019-08-30,N
G000286,DEU,Bronze,1,158.86,35,Groups,2018-03-28,Y
G000287,GBR,Silver,9,995.1,41,Groups,2019-02-11,Y
G000288,ESP,Silver,8,861.22,45,Direct,2020-01-17,N
G000289,NLD,Bronze,1,136.67,95,Offline TA/TO,2022-12-21,N
G000290,NLD,Bronze,1,297.47,51,Groups,2018-02-25,Y
G000291,CHN,Bronze,3,1011.44,93,Direct,2016-07-09,N
G000292,ITA,Gold,15,2211.19,113,Online TA,2023-07-16,N
G000293,GBR,Bronze,3,543.89,88,Direct,2019-07-09,N
G000294,GBR,Silver,7,1659.9,100,Corporate,2022-02-13,N
G000295,USA,Gold,17,5146.05,41,Offline TA/TO,2018-03-07,N
G000296,PRT,Silver,8,2571.37,12,Direct,2022-01-08,N
G000297,BRA,Bronze,1,347.8,32,Complementary,2016-06-24,N
G000298,FRA,Bronze,2,204.51,13,Corporate,2022-01-06,N
G000299,USA,Silver,7,562.05,16,Online TA,2021-08-28,Y
G000300,BRA,Silver,4,1202.48,95,Online TA,2020-05-10,Y
G000301,DEU,Bronze,1,164.6,24,Corporate,2023-09-04,Y
G000302,NLD,Silver,5,1160.44,90,Online TA,2019-12-08,N
G000303,USA,Silver,9,2217.06,117,Online TA,2015-12-22,Y
G000304,ITA,Bronze,1,340.08,108,Online TA,2017-10-11,N
G000305,PRT,Silver,8,2322.57,115,Complementary,2018-05-20,Y
G000306,ESP,Silver,5,1272.33,70,Corporate,2016-04-06,Y
G000307,ITA,Bronze,3,1039.37,23,Corporate,2021-05-17,N
G000308,GBR,Bronze,3,253.52,8,Offline TA/TO,2017-06-02,Y
G000309,BRA,Gold,20,5742.39,96,Corporate,2015-12-04,Y
G000310,FRA,Bronze,2,686.13,75,Offline TA/TO,2019-05-20,Y
G000311,BRA,Bronze,2,292.02,21,Corporate,2021-11-12,Y
G000312,FRA,Bronze,3,250.26,96,Direct,2016-11-02,N
G000313,DEU,Platinum,52,9381.05,100,Direct,2023-08-26,Y
G000314,NLD,Bronze,2,301.99,87,Direct,2020-07-25,N
G000315,DEU,Silver,7,1254.93,105,Direct,2021-06-08,Y
G000316,USA,Bronze,3,438.09,53,Corporate,2016-09-06,Y
G000317,BRA,Gold,24,4005.28,99,Offline TA/TO,2018-01-16,Y
G000318,CHN,Silver,8,1122.08,12,Corporate,2015-10-10,N
G000319,ESP,Gold,13,1067.97,44,Groups,2023-10-19,N
G000320,ESP,Silver,7,2445.82,100,Groups,2023-07-12,Y
G000321,PRT,Bronze,2,347.07,49,Direct,2023-07-06,N
G000322,ESP,Gold,14,3122.7,60,Corporate,2015-09-03,Y
G000323,ITA,Silver,4,766.1,65,Complementary,2015-12-14,Y
G000324,PRT,Silver,10,2398.12,62,Complementary,2016-06-19,Y
G000325,DEU,Bronze,2,331.75,36,Direct,2017-04-10,Y
G000326,USA,Silver,4,497.52,47,Corporate,2016-05-09,N
G000327,GBR,Platinum,90,13639.69,18,Online TA,2022-09-11,N
G000328,ITA,Gold,12,3668.4,25,Direct,2022-12-22,Y
G000329,FRA,Platinum,69,10366.91,10,Corporate,2020-01-27,Y
G000330,ESP,Bronze,1,83.23,23,Online TA,2019-06-29,N
G000331,GBR,Silver,4,1310.82,9,Direct,2017-03-20,N
G000332,USA,Gold,21,1922.09,13,Online TA,2021-06-08,N
G000333,FRA,Gold,11,2909.14,52,Online TA,2017-02-05,N
G000334,USA,Bronze,1,254.77,59,Groups,2020-05-16,Y
G000335,CHN,Bronze,2,507.03,38,Complementary,2023-12-30,Y
G000336,ITA,Platinum,100,29098.75,79,Groups,2018-08-10,N
G000337,DEU,Bronze,1,87.91,14,Corporate,2020-12-08,N
G000338,DEU,Silver,5,1286.77,75,Complementary,2015-08-18,Y
G000339,ITA,Silver,6,863.21,110,Complementary,2022-10-28,N
G000340,ESP,Gold,22,5104.87,114,Corporate,2021-01-29,N
G000341,PRT,Bronze,1,242.45,74,Corporate,2015-01-03,N
G000342,ITA,Gold,15,4103.6,14,Direct,2016-08-28,Y
G000343,BRA,Silver,10,1808.7,82,Direct,2018-10-10,N
G000344,FRA,Bronze,1,255.28,97,Groups,2022-10-11,N
G000345,DEU,Bronze,3,488.53,23,Online TA,2023-03-05,Y
G000346,ITA,Gold,29,3745.7,110,Groups,2017-06-23,Y
G000347,ITA,Gold,13,2257.3,28,Complementary,2015-12-30,N
G000348,GBR,Bronze,2,349.26,99,Direct,2015-07-17,N
G000349,ITA,Bronze,2,636.16,76,Corporate,2016-02-20,N
G000350,PRT,Silver,9,1816.63,44,Direct,2018-07-29,N
G000351,GBR,Platinum,79,9752.09,77,Direct,2018-10-16,N
G000352,GBR,Silver,9,1101.76,49,Online TA,2017-02-17,N
G000353,DEU,Silver,9,2325.25,37,Direct,2015-07-23,N
G000354,GBR,Silver,5,405.15,44,Complementary,2022-01-04,N
G000355,USA,Bronze,1,343.81,115,Direct,2018-06-17,N
G000356,ITA,Bronze,3,553.9,120,Corporate,2019-02-22,Y
G000357,DEU,Bronze,2,282.17,79,Direct,2016-09-11,Y
G000358,NLD,Bronze,2,684.18,36,Groups,2015-09-07,N
G000359,GBR,Gold,26,5423.36,57,Complementary,2015-05-23,Y
G000360,FRA,Bronze,2,596.57,12,Corporate,2015-11-17,N
G000361,GBR,Bronze,3,499.0,18,Corporate,2021-03-28,N
G000362,NLD,Silver,8,2338.95,82,Groups,2023-10-07,N
G000363,NLD,Bronze,1,329.73,106,Direct,2023-10-24,N
G000364,NLD,Gold,19,4879.06,84,Corporate,2015-06-03,Y
G000365,ITA,Bronze,1,90.47,95,Online TA,2015-07-21,N
G000366,USA,Gold,21,3443.08,116,Complementary,2022-09-06,Y
G000367,ITA,Platinum,87,25141.99,41,Complementary,2019-09-04,Y
G000368,ITA,Bronze,1,285.06,112,Direct,2020-10-11,Y
G000369,CHN,Bronze,3,872.22,119,Groups,2015-04-29,Y
G000370,PRT,Bronze,1,88.93,53,Complementary,2017-03-26,N
G000371,ESP,Bronze,2,527.83,54,Corporate,2021-08-30,N
G000372,DEU,Bronze,2,345.89,102,Complementary,2016-01-06,N
G000373,ESP,Bronze,1,311.42,93,Online TA,2018-01-07,N
G000374,NLD,Silver,4,1019.16,109,Direct,2017-07-05,N
G000375,ITA,Silver,9,2896.02,65,Offline TA/TO,2017-06-12,N
G000376,PRT,Bronze,3,713.43,72,Complementary,2019-03-13,N
G000377,ITA,Bronze,1,346.86,117,Offline TA/TO,2017-12-05,N
G000378,NLD,Bronze,3,892.4,58,Complementary,2018-08-02,Y
G000379,BRA,Silver,7,2274.06,56,Complementary,2015-05-25,Y
G000380,ITA,Bronze,3,974.29,71,Offline TA/TO,2016-11-27,Y
G000381,ITA,Bronze,2,671.34,90,Direct,2017-06-29,N
G000382,DEU,Bronze,2,300.7,66,Direct,2020-04-11,Y
G000383,ESP,Gold,30,6224.98,71,Direct,2022-08-20,N
G000384,ITA,Silver,4,1391.74,59,Groups,2020-02-18,Y
G000385,FRA,Bronze,3,509.43,47,Complementary,2015-08-26,Y
G000386,GBR,Bronze,1,212.19,23,Groups,2019-11-12,N
G000387,ITA,Bronze,2,448.24,8,Offline TA/TO,2023-06-28,Y
G000388,ITA,Bronze,1,267.25,46,Online TA,2016-02-25,N
G000389,DEU,Silver,5,802.57,65,Complementary,2020-11-01,N
