feedback_id,guest_id,hotel_type,package_name,stay_date,nps_score,checkin_satisfaction,room_satisfaction,food_satisfaction,value_for_money,would_return,booking_channel
FB0000023,G001698,Resort Hotel,Breakfast Included,2016-12-02,8,5,3,5,1,Maybe,TA/TO
FB0000024,G002789,City Hotel,Standard,2017-08-19,2,3,3,5,4,N,TA/TO
FB0000025,G000485,City Hotel,Half Board,2016-06-18,9,4,2,2,2,Maybe,TA/TO
FB0000026,G000115,City Hotel,Breakfast Included,2016-11-05,0,4,1,5,4,Maybe,GDS
FB0000027,G002442,Resort Hotel,Premium All-Inclusive,2017-05-28,8,4,3,2,5,Y,GDS
FB0000028,G002045,Resort Hotel,Premium All-Inclusive,2017-04-22,8,3,1,5,4,Maybe,Direct
FB0000029,G003753,City Hotel,Breakfast Included,2017-08-03,5,2,3,3,1,Y,TA/TO
FB0000030,G003015,Resort Hotel,Standard,2017-07-26,7,3,1,2,4,Maybe,GDS
FB0000031,G003448,City Hotel,Full Board,2017-04-23,10,3,1,3,5,N,GDS
FB0000032,G000291,City Hotel,Full Board,2016-01-22,7,3,2,3,3,Y,TA/TO
FB0000033,G000193,Resort Hotel,Breakfast Included,2016-05-23,6,2,2,4,1,N,Direct
FB0000034,G000481,City Hotel,Half Board,2016-11-01,3,2,3,2,1,Y,TA/TO
FB0000035,G002746,Resort Hotel,Standard,2016-12-28,5,1,5,3,2,Maybe,Direct
FB0000036,G001340,Resort Hotel,Breakfast Included,2015-12-15,9,4,3,5,4,N,GDS
FB0000037,G003798,City Hotel,Premium All-Inclusive,2016-09-18,8,4,3,3,2,Maybe,GDS
FB0000038,G000304,Resort Hotel,Breakfast Included,2017-05-05,9,4,5,1,1,Maybe,Direct
FB0000039,G000895,City Hotel,Standard,2016-04-27,10,3,5,1,3,N,TA/TO
FB0000040,G001056,City Hotel,Half Board,2015-10-24,9,4,3,5,1,Y,GDS
FB0000041,G004786,City Hotel,Half Board,2015-08-25,8,1,4,2,2,Maybe,Direct
FB0000042,G004670,City Hotel,Half Board,2015-08-01,6,5,2,1,4,N,Direct
FB0000043,G000702,City Hotel,Half Board,2015-09-14,2,1,3,2,1,Y,GDS
FB0000044,G000077,City Hotel,Half Board,2015-09-29,6,5,5,4,5,N,Direct
FB0000045,G003402,City Hotel,Full Board,2017-08-28,7,3,1,3,1,N,TA/TO
FB0000046,G002831,City Hotel,Breakfast Included,2016-06-05,7,5,3,1,3,Maybe,Direct
FB0000047,G003885,City Hotel,Full Board,2017-06-01,4,3,2,5,4,Y,Direct
FB0000048,G001001,City Hotel,Half Board,2015-09-20,10,4,2,4,1,N,Direct
FB0000049,G001580,Resort Hotel,Half Board,2015-10-23,2,1,4,3,1,Maybe,GDS
FB0000050,G001531,Resort Hotel,Full Board,2016-06-21,5,1,4,2,4,Y,Direct
FB0000051,G000057,Resort Hotel,Breakfast Included,2015-11-26,6,1,5,3,3,Maybe,TA/TO
FB0000052,G002463,City Hotel,Breakfast Included,2017-01-12,7,1,5,4,5,Y,GDS
FB0000053,G001924,Resort Hotel,Breakfast Included,2015-08-09,3,1,5,5,5,Y,Direct
FB0000054,G000806,Resort Hotel,Premium All-Inclusive,2017-08-30,4,5,5,5,1,Y,TA/TO
FB0000055,G003701,City Hotel,Premium All-Inclusive,2017-02-21,6,2,5,5,4,N,TA/TO
FB0000056,G002748,Resort Hotel,Standard,2017-03-29,4,3,3,2,3,Maybe,GDS
FB0000057,G001218,Resort Hotel,Standard,2016-09-09,6,2,4,2,5,Maybe,GDS
FB0000058,G003226,Resort Hotel,Premium All-Inclusive,2016-04-11,9,1,1,3,1,Y,TA/TO
FB0000059,G003837,City Hotel,Breakfast Included,2016-04-03,5,4,4,4,4,Maybe,TA/TO
FB0000060,G003158,Resort Hotel,Breakfast Included,2016-10-12,7,1,4,1,5,Maybe,Direct
FB0000061,G000441,City Hotel,Half Board,2017-04-09,6,2,2,1,3,N,TA/TO
FB0000062,G000449,City Hotel,Breakfast Included,2017-05-18,5,4,4,1,4,Maybe,Direct
FB0000063,G000675,Resort Hotel,Standard,2015-12-02,8,3,1,2,4,Maybe,GDS
FB0000064,G004606,Resort Hotel,Standard,2017-02-20,7,1,1,1,5,N,Direct
FB0000065,G000221,City Hotel,Breakfast Included,2017-05-05,8,4,4,4,2,N,Direct
FB0000066,G003420,City Hotel,Premium All-Inclusive,2016-01-28,7,5,5,3,1,N,GDS
FB0000067,G004041,Resort Hotel,Full Board,2015-07-09,9,3,3,1,5,Maybe,Direct
FB0000068,G002784,City Hotel,Standard,2017-05-26,8,5,2,1,4,Maybe,TA/TO
FB0000069,G002955,City Hotel,Breakfast Included,2017-06-08,8,5,1,3,3,N,GDS
FB0000070,G000638,Resort Hotel,Half Board,2015-09-08,9,3,2,4,1,N,Direct
FB0000071,G000106,City Hotel,Half Board,2017-03-02,8,5,5,1,4,N,Direct
FB0000072,G000964,City Hotel,Premium All-Inclusive,2017-07-29,10,3,5,5,2,N,GDS
FB0000073,G002159,City Hotel,Premium All-Inclusive,2016-02-28,6,1,4,4,3,Maybe,TA/TO
FB0000074,G000975,Resort Hotel,Standard,2016-09-18,7,3,1,1,3,Y,GDS
FB0000075,G001631,City Hotel,Half Board,2016-06-05,9,3,2,2,5,N,Direct
FB0000076,G002030,Resort Hotel,Premium All-Inclusive,2015-08-06,10,5,1,2,4,N,GDS
FB0000077,G003518,Resort Hotel,Premium All-Inclusive,2016-07-03,10,4,3,2,3,Y,GDS
FB0000078,G002120,Resort Hotel,Breakfast Included,2016-04-17,5,2,4,1,5,Y,Direct
FB0000079,G003754,City Hotel,Standard,2017-08-19,9,1,2,4,5,Y,Direct
FB0000080,G000026,City Hotel,Standard,2017-04-10,4,1,5,2,2,N,Direct
FB0000081,G000079,City Hotel,Full Board,2017-02-10,7,4,5,5,3,Y,GDS
FB0000082,G000692,City Hotel,Full Board,2016-11-22,9,3,3,3,5,Y,GDS
FB0000083,G004834,Resort Hotel,Breakfast Included,2017-08-01,8,4,1,4,2,Y,TA/TO
FB0000084,G003820,Resort Hotel,Breakfast Included,2015-11-13,7,1,3,3,1,Y,TA/TO
FB0000085,G000159,City Hotel,Full Board,2016-12-17,8,4,3,3,5,Y,Direct
FB0000086,G004815,Resort Hotel,Premium All-Inclusive,2016-07-27,9,4,3,5,5,Y,Direct
FB0000087,G003685,Resort Hotel,Premium All-Inclusive,2016-06-25,6,5,1,5,1,Y,Direct
FB0000088,G002409,Resort Hotel,Premium All-Inclusive,2016-08-24,5,3,3,3,2,Maybe,TA/TO
FB0000089,G003615,City Hotel,Breakfast Included,2016-07-21,9,1,5,1,5,N,GDS
FB0000090,G001825,Resort Hotel,Half Board,2017-03-09,6,4,2,1,5,Maybe,Direct
FB0000091,G001473,City Hotel,Half Board,2015-07-14,4,5,2,4,5,N,Direct
FB0000092,G002420,Resort Hotel,Breakfast Included,2017-07-11,10,1,3,1,2,Y,GDS
FB0000093,G003304,City Hotel,Full Board,2016-12-17,10,4,1,1,1,N,GDS
FB0000094,G004143,Resort Hotel,Half Board,2016-11-26,8,3,2,3,4,N,TA/TO
FB0000095,G004724,City Hotel,Breakfast Included,2017-01-21,9,3,1,3,3,Maybe,GDS
FB0000096,G001906,Resort Hotel,Standard,2016-01-15,7,2,3,4,4,Maybe,Direct
FB0000097,G000982,Resort Hotel,Premium All-Inclusive,2016-04-27,9,4,1,2,5,Maybe,GDS
FB0000098,G001845,City Hotel,Half Board,2017-06-03,8,2,1,3,2,Y,GDS
FB0000099,G003820,City Hotel,Standard,2017-03-24,2,3,5,4,5,N,Direct
FB0000100,G002941,City Hotel,Standard,2016-12-09,8,2,2,3,3,Y,Direct
FB0000101,G004324,City Hotel,Premium All-Inclusive,2017-03-09,10,3,3,3,1,Maybe,Direct
FB0000102,G004065,City Hotel,Breakfast Included,2016-05-07,8,3,2,3,1,N,GDS
FB0000103,G004312,City Hotel,Breakfast Included,2015-08-16,9,5,3,1,1,N,TA/TO
FB0000104,G003664,Resort Hotel,Full Board,2016-06-05,6,1,3,2,3,N,TA/TO
FB0000105,G000489,City Hotel,Full Board,2016-08-05,9,2,2,4,1,N,Direct
FB0000106,G003865,Resort Hotel,Half Board,2015-09-25,10,1,4,2,2,Maybe,GDS
FB0000107,G003406,City Hotel,Full Board,2017-04-17,6,2,3,2,4,N,TA/TO
FB0000108,G000616,Resort Hotel,Half Board,2016-12-22,4,4,3,4,4,Y,Direct
FB0000109,G000560,Resort Hotel,Full Board,2016-08-04,1,4,3,1,5,N,GDS
FB0000110,G000494,City Hotel,Standard,2017-07-15,8,3,4,5,2,Maybe,GDS
FB0000111,G003495,City Hotel,Premium All-Inclusive,2016-09-29,9,5,4,4,4,N,GDS
FB0000112,G000002,City Hotel,Half Board,2016-02-15,6,4,1,3,3,Y,Direct
FB0000113,G002233,City Hotel,Full Board,2015-11-08,7,2,4,3,4,N,Direct
FB0000114,G001825,Resort Hotel,Premium All-Inclusive,2016-11-02,8,2,4,3,3,N,TA/TO
FB0000115,G000114,City Hotel,Half Board,2016-05-08,8,5,5,2,5,N,GDS
FB0000116,G002933,Resort Hotel,Premium All-Inclusive,2016-02-28,8,3,2,2,1,Maybe,GDS
FB0000117,G000276,Resort Hotel,Full Board,2016-03-20,9,4,4,3,5,Maybe,TA/TO
FB0000118,G005000,City Hotel,Breakfast Included,2015-09-08,10,4,4,5,2,N,Direct
FB0000119,G001967,Resort Hotel,Half Board,2017-07-10,4,5,4,1,3,Maybe,TA/TO
FB0000120,G002224,Resort Hotel,Breakfast Included,2016-02-16,1,5,5,4,2,Maybe,GDS
FB0000121,G002215,City Hotel,Half Board,2016-04-13,2,5,3,5,1,N,TA/TO
FB0000122,G004224,Resort Hotel,Full Board,2017-06-19,8,5,5,5,1,Maybe,TA/TO
FB0000123,G003282,City Hotel,Full Board,2016-03-18,10,2,4,2,3,N,GDS
FB0000124,G000913,Resort Hotel,Standard,2016-09-29,8,2,4,5,1,N,GDS
FB0000125,G003307,City Hotel,Standard,2015-09-05,9,2,4,4,1,Y,TA/TO
FB0000126,G004058,City Hotel,Premium All-Inclusive,2015-09-03,7,2,1,5,1,N,GDS
FB0000127,G000986,Resort Hotel,Full Board,2015-12-21,6,4,5,5,5,Maybe,TA/TO
FB0000128,G003929,Resort Hotel,Full Board,2015-12-24,10,1,5,2,2,N,GDS
FB0000129,G001486,City Hotel,Premium All-Inclusive,2016-03-20,9,5,4,4,1,Maybe,GDS
FB0000130,G003215,Resort Hotel,Standard,2015-10-03,8,5,5,3,4,Maybe,Direct
FB0000131,G003737,Resort Hotel,Half Board,2017-06-08,5,3,2,5,5,Y,Direct
FB0000132,G001550,Resort Hotel,Premium All-Inclusive,2017-08-15,4,4,2,3,3,N,Direct
FB0000133,G003919,City Hotel,Half Board,2015-09-06,6,3,5,2,2,Y,TA/TO
FB0000134,G004635,Resort Hotel,Standard,2015-09-25,7,5,1,4,1,N,GDS
FB0000135,G003502,City Hotel,Full Board,2015-10-28,5,4,3,3,2,Maybe,Direct
FB0000136,G003279,Resort Hotel,Breakfast Included,2015-12-13,6,1,2,3,2,Y,TA/TO
FB0000137,G000726,City Hotel,Breakfast Included,2015-10-11,4,3,4,4,3,Maybe,Direct
FB0000138,G004746,Resort Hotel,Half Board,2017-02-04,9,4,4,1,2,Y,TA/TO
FB0000139,G000016,Resort Hotel,Full Board,2016-09-11,7,2,3,5,2,Y,Direct
FB0000140,G002178,City Hotel,Standard,2016-06-02,6,4,2,4,4,Maybe,TA/TO
FB0000141,G001888,Resort Hotel,Premium All-Inclusive,2016-11-24,8,4,3,3,3,Maybe,TA/TO
FB0000142,G000249,Resort Hotel,Standard,2016-01-15,9,4,4,2,5,Y,TA/TO
FB0000143,G003089,City Hotel,Standard,2016-04-07,4,5,3,2,5,Maybe,Direct
FB0000144,G000734,City Hotel,Standard,2016-03-29,7,2,3,1,4,Maybe,TA/TO
FB0000145,G004436,City Hotel,Full Board,2015-08-31,8,2,5,4,2,Y,Direct
FB0000146,G000152,City Hotel,Breakfast Included,2016-12-05,4,5,5,5,2,Maybe,TA/TO
FB0000147,G000859,Resort Hotel,Standard,2015-07-03,9,3,5,3,3,N,GDS
FB0000148,G003561,City Hotel,Standard,2017-07-10,8,4,5,1,2,Y,GDS
FB0000149,G000051,Resort Hotel,Standard,2017-05-29,10,3,4,5,1,Y,TA/TO
FB0000150,G000971,Resort Hotel,Breakfast Included,2016-02-02,10,4,1,3,4,N,Direct
FB0000151,G000839,City Hotel,Breakfast Included,2015-10-31,10,3,3,5,3,Maybe,TA/TO
FB0000152,G001066,City Hotel,Premium All-Inclusive,2017-08-15,9,5,1,5,4,Maybe,TA/TO
FB0000153,G004934,City Hotel,Standard,2016-02-26,6,1,4,4,3,Maybe,TA/TO
FB0000154,G000149,Resort Hotel,Breakfast Included,2017-02-07,6,2,4,1,5,Y,Direct
FB0000155,G004259,City Hotel,Full Board,2015-10-18,9,3,2,4,1,Maybe,GDS
FB0000156,G001723,Resort Hotel,Half Board,2016-07-07,8,2,3,5,4,Y,Direct
FB0000157,G000025,Resort Hotel,Standard,2015-08-04,10,3,2,3,2,Maybe,Direct
FB0000158,G001806,City Hotel,Half Board,2017-08-28,6,4,2,3,5,Maybe,TA/TO
FB0000159,G004420,City Hotel,Premium All-Inclusive,2016-05-03,10,4,1,3,4,N,TA/TO
FB0000160,G002644,Resort Hotel,Half Board,2015-10-08,8,5,2,2,3,Y,GDS
FB0000161,G002370,City Hotel,Full Board,2015-09-21,10,5,2,3,2,Maybe,Direct
FB0000162,G001921,City Hotel,Standard,2017-06-10,7,4,4,4,1,Maybe,TA/TO
FB0000163,G001272,City Hotel,Half Board,2016-12-01,10,3,5,4,5,Maybe,Direct
FB0000164,G001550,Resort Hotel,Half Board,2015-11-25,8,1,5,5,5,Y,GDS
FB0000165,G002658,Resort Hotel,Premium All-Inclusive,2016-12-08,10,5,5,1,2,N,Direct
FB0000166,G003705,Resort Hotel,Breakfast Included,2016-01-28,9,2,1,3,5,Maybe,GDS
FB0000167,G002506,Resort Hotel,Premium All-Inclusive,2016-01-27,9,4,3,5,4,Maybe,Direct
FB0000168,G002100,City Hotel,Breakfast Included,2017-07-10,8,1,3,1,3,Y,TA/TO
FB0000169,G004535,City Hotel,Standard,2016-03-05,8,4,1,4,1,Y,Direct
FB0000170,G004217,Resort Hotel,Half Board,2016-05-07,8,1,2,2,3,Maybe,Direct
FB0000171,G004774,Resort Hotel,Standard,2017-05-25,6,3,3,2,5,N,Direct
FB0000172,G002959,Resort Hotel,Half Board,2015-09-19,6,1,2,5,5,N,Direct
FB0000173,G000480,City Hotel,Standard,2017-05-08,4,3,2,5,3,Y,GDS
FB0000174,G000898,City Hotel,Full Board,2015-10-07,9,3,5,2,2,N,TA/TO
FB0000175,G004907,Resort Hotel,Standard,2017-08-06,6,2,4,1,2,Y,GDS
FB0000176,G004617,Resort Hotel,Full Board,2016-12-10,3,1,1,1,1,Y,TA/TO
FB0000177,G001797,City Hotel,Breakfast Included,2015-11-03,7,5,4,3,3,Maybe,GDS
FB0000178,G002014,City Hotel,Full Board,2016-02-12,8,2,4,5,3,Y,GDS
FB0000179,G002518,Resort Hotel,Breakfast Included,2016-08-06,9,2,5,1,4,N,TA/TO
FB0000180,G000457,Resort Hotel,Premium All-Inclusive,2016-01-21,9,5,1,3,5,N,Direct
FB0000181,G002215,City Hotel,Premium All-Inclusive,2016-12-19,9,4,5,2,4,Y,GDS
FB0000182,G004030,City Hotel,Full Board,2015-09-26,1,5,4,2,4,N,Direct
FB0000183,G003054,City Hotel,Standard,2016-06-23,9,5,5,1,3,N,GDS
FB0000184,G004521,Resort Hotel,Standard,2017-02-27,6,3,2,5,4,N,Direct
FB0000185,G001152,City Hotel,Half Board,2015-10-07,7,2,5,3,2,N,TA/TO
FB0000186,G001406,City Hotel,Full Board,2017-05-10,4,2,5,1,4,Y,GDS
FB0000187,G000872,City Hotel,Half Board,2017-07-06,6,1,3,3,4,Maybe,Direct
FB0000188,G000875,Resort Hotel,Breakfast Included,2016-07-06,10,4,2,3,2,Y,Direct
FB0000189,G001135,Resort Hotel,Standard,2015-09-05,5,1,1,1,2,Y,GDS
FB0000190,G002477,Resort Hotel,Full Board,2016-01-06,3,2,4,4,5,Maybe,TA/TO
FB0000191,G003042,Resort Hotel,Standard,2017-05-10,10,2,2,4,4,Y,TA/TO
FB0000192,G003502,City Hotel,Breakfast Included,2017-07-28,6,4,4,5,4,Maybe,TA/TO
FB0000193,G003686,City Hotel,Premium All-Inclusive,2016-06-24,8,5,4,3,1,Y,Direct
FB0000194,G000127,Resort Hotel,Half Board,2017-06-07,7,3,5,5,4,N,Direct
FB0000195,G003301,City Hotel,Full Board,2016-02-08,8,5,1,1,4,Y,Direct
FB0000196,G002316,Resort Hotel,Premium All-Inclusive,2016-05-17,3,3,2,2,1,Y,Direct
FB0000197,G003962,City Hotel,Breakfast Included,2017-07-19,6,2,3,5,2,Y,TA/TO
FB0000198,G001723,City Hotel,Breakfast Included,2016-05-07,5,1,4,1,4,N,TA/TO
FB0000199,G003864,Resort Hotel,Premium All-Inclusive,2017-05-25,8,4,5,4,1,N,Direct
FB0000200,G004945,Resort Hotel,Standard,2015-09-08,9,1,3,4,5,N,Direct
FB0000201,G004776,City Hotel,Breakfast Included,2016-01-18,7,3,3,5,4,Y,Direct
FB0000202,G002470,City Hotel,Full Board,2016-02-01,7,2,3,3,5,Maybe,TA/TO
FB0000203,G003083,City Hotel,Half Board,2016-09-29,3,3,4,5,4,N,Direct
FB0000204,G000189,Resort Hotel,Premium All-Inclusive,2017-04-22,9,1,1,4,5,N,TA/TO
FB0000205,G002287,City Hotel,Half Board,2015-08-31,4,4,3,5,5,N,Direct
FB0000206,G002514,City Hotel,Half Board,2016-09-25,8,2,4,4,4,Y,GDS
FB0000207,G004414,Resort Hotel,Half Board,2017-07-22,7,1,5,5,1,N,Direct
FB0000208,G001383,Resort Hotel,Premium All-Inclusive,2017-07-04,8,2,3,4,4,N,TA/TO
FB0000209,G003590,Resort Hotel,Full Board,2016-07-18,8,4,2,2,1,Maybe,TA/TO
FB0000210,G000857,Resort Hotel,Premium All-Inclusive,2016-08-29,9,3,1,2,3,N,TA/TO
FB0000211,G002815,Resort Hotel,Half Board,2017-03-03,7,1,4,5,1,N,GDS
FB0000212,G002530,Resort Hotel,Standard,2016-06-10,10,1,1,1,4,Y,Direct
FB0000213,G000855,City Hotel,Half Board,2016-10-25,5,3,5,2,1,Maybe,Direct
FB0000214,G004541,Resort Hotel,Premium All-Inclusive,2016-07-26,8,2,3,1,3,N,GDS
FB0000215,G002675,City Hotel,Breakfast Included,2016-11-22,7,5,3,4,3,Y,TA/TO
FB0000216,G002524,City Hotel,Full Board,2017-08-16,9,3,2,4,3,Y,TA/TO
FB0000217,G001261,City Hotel,Breakfast Included,2016-01-06,4,3,1,1,4,N,TA/TO
FB0000218,G000344,Resort Hotel,Full Board,2015-12-13,6,2,1,1,3,Maybe,GDS
FB0000219,G000386,Resort Hotel,Full Board,2016-10-05,10,4,2,3,1,Y,TA/TO
FB0000220,G001318,City Hotel,Breakfast Included,2017-07-22,8,4,5,2,2,Y,GDS
FB0000221,G003461,Resort Hotel,Standard,2015-08-12,7,5,4,1,3,Maybe,TA/TO
FB0000222,G002233,Resort Hotel,Half Board,2015-11-07,5,3,5,3,1,Y,TA/TO
FB0000223,G000273,City Hotel,Standard,2015-08-03,7,4,4,4,1,N,Direct
FB0000224,G001178,City Hotel,Full Board,2016-01-07,3,3,1,4,3,Y,TA/TO
FB0000225,G003873,City Hotel,Full Board,2017-02-10,7,3,5,4,3,Y,Direct
FB0000226,G001736,Resort Hotel,Half Board,2015-12-30,5,4,1,3,2,Y,TA/TO
FB0000227,G003731,Resort Hotel,Standard,2015-12-20,4,5,4,3,5,Maybe,GDS
FB0000228,G004641,City Hotel,Premium All-Inclusive,2017-07-21,8,3,2,5,4,Y,Direct
FB0000229,G003211,Resort Hotel,Full Board,2017-05-14,9,4,2,5,5,Y,Direct
FB0000230,G000523,City Hotel,Standard,2015-08-03,8,2,5,2,2,Maybe,Direct
FB0000231,G001347,City Hotel,Half Board,2016-02-01,7,3,1,3,3,Maybe,Direct
FB0000232,G001984,City Hotel,Full Board,2016-03-27,6,5,4,5,3,N,Direct
FB0000233,G000899,City Hotel,Half Board,2016-09-01,3,3,3,3,2,N,TA/TO
FB0000234,G001609,Resort Hotel,Breakfast Included,2015-08-27,4,3,4,1,4,Maybe,TA/TO
FB0000235,G002555,Resort Hotel,Standard,2017-05-16,6,1,2,5,4,Maybe,TA/TO
FB0000236,G002159,Resort Hotel,Half Board,2015-09-23,8,1,3,2,4,N,Direct
FB0000237,G003396,Resort Hotel,Breakfast Included,2015-08-03,6,2,3,4,2,Y,GDS
FB0000238,G002247,Resort Hotel,Breakfast Included,2017-05-14,6,3,4,1,3,Maybe,GDS
FB0000239,G000697,City Hotel,Standard,2016-08-18,6,4,2,2,2,Maybe,GDS
FB0000240,G004958,City Hotel,Full Board,2017-08-17,4,4,5,3,1,Y,GDS
FB0000241,G001404,Resort Hotel,Premium All-Inclusive,2015-12-30,10,5,1,4,5,N,Direct
FB0000242,G001072,City Hotel,Breakfast Included,2016-06-21,5,3,1,5,4,N,GDS
FB0000243,G000710,Resort Hotel,Full Board,2016-08-18,6,4,2,2,3,N,TA/TO
FB0000244,G001930,Resort Hotel,Premium All-Inclusive,2016-09-16,1,5,5,2,2,Maybe,GDS
FB0000245,G004209,City Hotel,Standard,2017-07-20,9,2,4,5,2,N,TA/TO
FB0000246,G002881,City Hotel,Standard,2016-08-02,7,4,4,5,1,Maybe,Direct
FB0000247,G004824,Resort Hotel,Full Board,2016-08-31,6,1,1,1,2,Y,GDS
FB0000248,G000111,City Hotel,Half Board,2017-06-08,7,1,3,4,1,Maybe,Direct
FB0000249,G000293,City Hotel,Premium All-Inclusive,2016-02-13,8,1,3,2,1,Y,GDS
FB0000250,G003683,City Hotel,Half Board,2016-11-22,9,2,5,2,2,Maybe,GDS
FB0000251,G002281,Resort Hotel,Premium All-Inclusive,2016-03-23,6,4,2,5,2,Maybe,TA/TO
FB0000252,G003238,City Hotel,Breakfast Included,2015-11-22,9,1,4,2,5,Y,TA/TO
FB0000253,G004116,City Hotel,Half Board,2017-04-06,10,4,1,5,1,Maybe,TA/TO
FB0000254,G004914,City Hotel,Standard,2016-03-26,1,2,2,4,2,N,Direct
FB0000255,G002476,Resort Hotel,Half Board,2015-11-08,5,3,5,3,2,N,GDS
FB0000256,G001097,Resort Hotel,Breakfast Included,2015-12-31,5,2,1,3,3,Y,Direct
FB0000257,G000412,City Hotel,Half Board,2016-08-05,8,5,2,2,5,N,GDS
FB0000258,G000792,City Hotel,Half Board,2017-06-21,8,3,1,4,1,Maybe,GDS
FB0000259,G002427,Resort Hotel,Breakfast Included,2015-10-17,5,5,4,4,1,Maybe,GDS
FB0000260,G002652,City Hotel,Full Board,2017-04-17,8,4,3,4,1,Maybe,Direct
FB0000261,G000703,City Hotel,Premium All-Inclusive,2015-11-15,9,4,2,2,5,Y,TA/TO
FB0000262,G004402,Resort Hotel,Standard,2016-08-13,6,3,1,4,2,N,TA/TO
FB0000263,G002788,City Hotel,Premium All-Inclusive,2016-07-22,8,4,3,3,5,Maybe,TA/TO
FB0000264,G004891,Resort Hotel,Standard,2016-08-26,8,4,1,2,2,Y,GDS
FB0000265,G002510,Resort Hotel,Half Board,2017-06-02,3,3,2,4,1,Maybe,GDS
FB0000266,G002064,City Hotel,Breakfast Included,2016-04-29,8,4,2,4,2,Y,GDS
FB0000267,G003846,Resort Hotel,Full Board,2017-06-25,10,2,2,2,1,Y,TA/TO
FB0000268,G001075,City Hotel,Half Board,2017-07-03,9,4,2,5,1,Maybe,TA/TO
FB0000269,G000232,City Hotel,Premium All-Inclusive,2016-03-20,8,1,4,3,1,Y,TA/TO
FB0000270,G004841,Resort Hotel,Breakfast Included,2017-01-04,5,5,3,1,5,Maybe,Direct
FB0000271,G001379,Resort Hotel,Breakfast Included,2015-10-12,1,3,2,3,1,Y,GDS
FB0000272,G001653,Resort Hotel,Full Board,2016-02-16,3,4,1,5,1,N,Direct
FB0000273,G002853,Resort Hotel,Breakfast Included,2016-09-29,8,3,3,2,2,Maybe,TA/TO
FB0000274,G001363,Resort Hotel,Premium All-Inclusive,2016-05-05,5,4,5,5,2,Maybe,TA/TO
FB0000275,G000268,Resort Hotel,Breakfast Included,2017-01-03,4,5,3,3,5,Maybe,Direct
FB0000276,G004197,Resort Hotel,Breakfast Included,2016-06-19,7,5,4,5,1,Maybe,TA/TO
FB0000277,G000699,Resort Hotel,Premium All-Inclusive,2017-07-31,6,3,5,5,2,Y,GDS
FB0000278,G002039,Resort Hotel,Half Board,2016-06-11,3,2,5,4,1,Y,GDS
FB0000279,G002383,Resort Hotel,Full Board,2015-09-22,7,4,1,3,3,Y,Direct
FB0000280,G000163,Resort Hotel,Full Board,2017-08-09,8,2,4,4,1,Y,GDS
FB0000281,G003964,City Hotel,Half Board,2016-08-31,8,3,2,1,2,Y,GDS
FB0000282,G004873,Resort Hotel,Premium All-Inclusive,2015-07-01,9,4,5,4,2,Maybe,GDS
FB0000283,G001154,City Hotel,Full Board,2016-04-05,3,4,2,5,2,Y,TA/TO
FB0000284,G003089,Resort Hotel,Standard,2017-01-16,10,4,3,5,4,Maybe,GDS
FB0000285,G002118,City Hotel,Full Board,2015-10-28,8,2,3,3,2,Y,GDS
