Passenger_ID,age,gender,income_level,frequent_flyer_status,satisfaction_segment,total_flights,total_no_shows,no_show_rate,avg_satisfaction,avg_price_paid,total_delay_minutes,preferred_class,preferred_checkin,primary_travel_purpose,preferred_airline
P1043,39,Female,Low,Non-Member,Satisfied,1,0,0.0,7.4,379.24,2.0,Economy,Desk,Emergency,Delta
P1044,42,Female,Medium,Silver,Satisfied,1,0,0.0,7.9,305.01,16.0,Economy,Online,Business,American Airlines
P1045,32,Female,Low,Platinum,Satisfied,1,1,1.0,7.9,444.49,2.0,Business,Mobile App,Emergency,United
P1046,36,Male,Low,Gold,Dissatisfied,1,0,0.0,4.8,284.9,7.0,Economy,Desk,Leisure,Southwest
P1047,27,Male,Medium,Gold,Highly Satisfied,1,1,1.0,8.3,439.68,18.0,Economy,Airport Kiosk,Emergency,JetBlue
P1048,24,Female,Low,Silver,Satisfied,1,0,0.0,7.6,289.54,6.0,Premium Economy,Mobile App,Emergency,American Airlines
P1049,72,Female,Medium,Non-Member,Highly Satisfied,1,0,0.0,9.0,383.35,13.0,Economy,Online,Family,United
P105,51,Female,High,Silver,Dissatisfied,1,0,0.0,4.9,235.2,1.0,First,Airport Kiosk,Emergency,Delta
P1050,65,Male,Medium,Silver,Satisfied,1,0,0.0,7.4,543.46,16.0,Premium Economy,Mobile App,Business,American Airlines
P1051,35,Female,High,Non-Member,Highly Satisfied,1,1,1.0,9.6,216.2,13.0,Economy,Mobile App,Family,Delta
P1052,56,Male,High,Non-Member,Satisfied,1,0,0.0,7.4,288.82,5.0,Premium Economy,Airport Kiosk,Business,Southwest
P1053,53,Female,Low,Silver,Highly Satisfied,1,0,0.0,8.0,367.12,9.0,Economy,Online,Leisure,Delta
P1054,42,Female,High,Non-Member,Satisfied,1,0,0.0,6.8,351.76,6.0,Economy,Online,Emergency,Delta
P1055,60,Male,Low,Silver,Highly Satisfied,1,0,0.0,8.5,406.1,5.0,Economy,Desk,Family,United
P1056,75,Female,Low,Platinum,Satisfied,1,0,0.0,6.6,197.82,25.0,Premium Economy,Airport Kiosk,Leisure,Southwest
P1057,70,Female,Medium,Gold,Satisfied,1,0,0.0,7.1,346.24,6.0,Premium Economy,Airport Kiosk,Leisure,American Airlines
P1058,53,Male,Medium,Silver,Dissatisfied,1,0,0.0,3.9,290.83,12.0,First,Online,Leisure,American Airlines
P1059,24,Female,Medium,Gold,Highly Satisfied,1,0,0.0,8.4,325.96,4.0,Economy,Airport Kiosk,Leisure,Delta
P106,42,Male,Medium,Silver,Neutral,1,0,0.0,5.5,350.71,5.0,Economy,Desk,Leisure,Southwest
P1060,65,Female,Medium,Non-Member,Neutral,1,0,0.0,5.5,342.42,20.0,Economy,Mobile App,Business,Delta
P1061,66,Female,Medium,Non-Member,Neutral,1,0,0.0,5.4,401.1,5.0,Economy,Mobile App,Leisure,American Airlines
P1062,79,Male,Medium,Non-Member,Highly Satisfied,1,0,0.0,9.5,258.89,2.0,Economy,Mobile App,Leisure,Delta
P1063,56,Male,Medium,Non-Member,Satisfied,1,0,0.0,6.7,345.16,0.0,Economy,Online,Business,JetBlue
P1064,40,Male,Low,Non-Member,Satisfied,1,0,0.0,6.9,301.56,2.0,Economy,Desk,Business,United
P1065,78,Female,Low,Non-Member,Highly Satisfied,1,0,0.0,8.6,278.39,14.0,Premium Economy,Online,Business,JetBlue
P1066,36,Male,Medium,Gold,Neutral,1,1,1.0,6.1,367.02,3.0,Business,Online,Business,JetBlue
P1067,36,Female,Medium,Silver,Satisfied,1,0,0.0,7.2,378.81,10.0,Economy,Mobile App,Leisure,JetBlue
P1068,65,Female,High,Non-Member,Dissatisfied,1,0,0.0,3.2,353.13,0.0,Economy,Online,Leisure,Southwest
P1069,57,Male,Medium,Non-Member,Satisfied,1,0,0.0,7.4,310.63,27.0,First,Airport Kiosk,Emergency,JetBlue
P107,75,Male,High,Silver,Satisfied,1,0,0.0,6.7,195.0,1.0,Economy,Airport Kiosk,Emergency,Southwest
P1070,62,Female,Medium,Platinum,Neutral,1,0,0.0,5.3,403.41,0.0,Economy,Mobile App,Family,JetBlue
P1071,71,Female,Medium,Silver,Dissatisfied,1,0,0.0,3.2,243.07,8.0,Economy,Airport Kiosk,Emergency,Delta
P1072,72,Female,Low,Silver,Highly Satisfied,1,0,0.0,8.5,343.76,10.0,Economy,Mobile App,Emergency,Southwest
P1073,64,Female,Low,Platinum,Highly Satisfied,1,0,0.0,8.8,373.53,3.0,Economy,Mobile App,Leisure,JetBlue
P1074,25,Male,Low,Platinum,Neutral,1,0,0.0,6.3,562.25,1.0,Economy,Online,Business,American Airlines
P1075,38,Male,Medium,Silver,Satisfied,1,0,0.0,7.8,321.04,6.0,Economy,Desk,Leisure,Delta
P1076,25,Female,Low,Gold,Neutral,1,0,0.0,5.4,308.34,3.0,Premium Economy,Online,Family,JetBlue
P1077,62,Female,Medium,Silver,Neutral,1,0,0.0,6.0,359.89,54.0,Economy,Mobile App,Emergency,JetBlue
P1078,72,Male,Low,Non-Member,Satisfied,1,0,0.0,7.0,243.12,10.0,Premium Economy,Online,Leisure,JetBlue
P1079,74,Male,Medium,Silver,Highly Satisfied,1,0,0.0,8.1,466.67,4.0,Economy,Airport Kiosk,Business,Delta
P108,30,Male,Medium,Non-Member,Neutral,1,0,0.0,5.7,220.59,4.0,Economy,Airport Kiosk,Family,American Airlines
P1080,27,Female,Low,Non-Member,Satisfied,1,0,0.0,7.6,487.25,4.0,Premium Economy,Online,Leisure,Southwest
P1081,47,Male,High,Platinum,Neutral,1,0,0.0,5.9,389.87,3.0,Economy,Mobile App,Leisure,JetBlue
P1082,44,Male,Medium,Silver,Highly Satisfied,1,0,0.0,8.0,332.21,15.0,Business,Desk,Emergency,Delta
P1083,20,Female,Low,Non-Member,Highly Satisfied,1,0,0.0,8.3,334.1,6.0,First,Desk,Leisure,Delta
P1084,50,Female,Medium,Non-Member,Neutral,1,0,0.0,5.5,534.76,8.0,Premium Economy,Mobile App,Business,Southwest
P1085,35,Male,Low,Silver,Dissatisfied,1,0,0.0,3.2,385.9,3.0,Economy,Mobile App,Emergency,United
P1086,39,Female,Medium,Non-Member,Neutral,1,0,0.0,5.6,248.08,3.0,Economy,Mobile App,Family,United
P1087,35,Female,Medium,Gold,Satisfied,1,0,0.0,7.2,663.44,21.0,Business,Desk,Family,Southwest
P1088,35,Female,Low,Gold,Highly Satisfied,1,0,0.0,10.0,419.15,3.0,Economy,Mobile App,Family,JetBlue
P1089,48,Female,Low,Silver,Satisfied,1,0,0.0,7.5,323.06,12.0,Premium Economy,Desk,Family,American Airlines
P109,53,Male,Medium,Non-Member,Satisfied,1,0,0.0,6.6,305.67,1.0,Economy,Mobile App,Leisure,American Airlines
P1090,21,Female,Low,Silver,Highly Satisfied,1,1,1.0,8.8,349.78,7.0,Economy,Desk,Emergency,JetBlue
P1091,64,Female,Medium,Gold,Satisfied,1,0,0.0,7.8,384.31,6.0,Economy,Desk,Family,Delta
P1092,56,Female,Low,Non-Member,Satisfied,1,0,0.0,7.5,433.92,3.0,Economy,Desk,Emergency,United
P1093,20,Male,High,Non-Member,Satisfied,1,0,0.0,7.5,267.32,3.0,Economy,Airport Kiosk,Emergency,Southwest
P1094,38,Female,Medium,Non-Member,Satisfied,1,0,0.0,7.6,410.71,1.0,Economy,Desk,Leisure,JetBlue
P1095,53,Male,High,Gold,Satisfied,1,0,0.0,6.6,284.28,3.0,Economy,Desk,Emergency,American Airlines
P1096,46,Female,Low,Silver,Highly Satisfied,1,0,0.0,9.4,272.8,19.0,Economy,Airport Kiosk,Business,United
P1097,35,Male,Low,Non-Member,Satisfied,1,0,0.0,7.5,323.0,4.0,Economy,Mobile App,Leisure,United
P1098,65,Female,Medium,Non-Member,Satisfied,1,0,0.0,6.9,392.55,20.0,Business,Mobile App,Leisure,Southwest
P1099,39,Female,High,Non-Member,Satisfied,1,0,0.0,6.9,262.45,2.0,Premium Economy,Desk,Business,American Airlines
P11,77,Male,Medium,Non-Member,Highly Satisfied,1,0,0.0,8.5,218.26,4.0,Business,Mobile App,Business,United
P110,47,Female,Medium,Platinum,Satisfied,1,0,0.0,7.8,260.88,15.0,Economy,Desk,Emergency,American Airlines
P1100,32,Female,Medium,Silver,Satisfied,1,0,0.0,7.8,248.01,11.0,Economy,Desk,Emergency,Southwest
P1101,48,Male,High,Non-Member,Neutral,1,0,0.0,6.0,425.09,16.0,Premium Economy,Airport Kiosk,Leisure,Southwest
P1102,33,Female,Medium,Non-Member,Highly Satisfied,1,0,0.0,9.4,467.13,4.0,Premium Economy,Airport Kiosk,Emergency,Delta
P1103,58,Male,Low,Gold,Highly Satisfied,1,0,0.0,8.0,369.1,3.0,Economy,Mobile App,Business,Delta
P1104,55,Male,Low,Silver,Neutral,1,0,0.0,6.0,403.28,6.0,Economy,Desk,Business,American Airlines
P1105,38,Female,High,Non-Member,Neutral,1,0,0.0,5.9,130.83,15.0,Business,Mobile App,Business,Delta
P1106,52,Female,Low,Silver,Neutral,1,0,0.0,6.4,274.6,12.0,Premium Economy,Online,Leisure,American Airlines
P1107,65,Male,Low,Non-Member,Satisfied,1,0,0.0,6.9,393.07,25.0,Economy,Online,Emergency,Delta
P1108,28,Female,Low,Non-Member,Satisfied,1,0,0.0,7.1,437.76,13.0,Economy,Airport Kiosk,Family,United
P1109,52,Male,Medium,Platinum,Highly Satisfied,1,0,0.0,8.1,420.09,9.0,Business,Airport Kiosk,Family,Southwest
P111,74,Female,Medium,Non-Member,Highly Satisfied,1,1,1.0,9.7,311.31,1.0,Economy,Mobile App,Family,United
P1110,65,Female,Medium,Non-Member,Satisfied,1,0,0.0,7.1,323.55,29.0,Economy,Desk,Business,JetBlue
P1111,78,Male,High,Non-Member,Dissatisfied,1,0,0.0,4.4,432.21,22.0,Economy,Online,Leisure,American Airlines
P1112,78,Female,Medium,Non-Member,Highly Satisfied,1,0,0.0,8.0,383.96,8.0,Economy,Airport Kiosk,Business,United
P1113,37,Male,High,Non-Member,Neutral,1,0,0.0,6.2,407.41,14.0,Business,Online,Business,Southwest
P1114,56,Male,Low,Gold,Satisfied,1,0,0.0,6.9,271.66,54.0,Premium Economy,Airport Kiosk,Business,United
P1115,50,Male,Medium,Silver,Neutral,1,0,0.0,6.2,217.02,4.0,Premium Economy,Mobile App,Leisure,JetBlue
P1116,65,Female,Medium,Platinum,Satisfied,1,0,0.0,7.3,464.9,43.0,Premium Economy,Online,Leisure,Delta
P1117,28,Male,Low,Platinum,Satisfied,1,0,0.0,6.5,331.91,36.0,Premium Economy,Desk,Business,Delta
P1118,55,Female,Low,Non-Member,Neutral,1,0,0.0,5.1,387.59,12.0,First,Mobile App,Leisure,JetBlue
P1119,46,Female,High,Silver,Highly Satisfied,1,1,1.0,9.0,259.91,6.0,Economy,Mobile App,Leisure,Delta
P112,29,Female,High,Silver,Neutral,1,0,0.0,5.9,342.85,10.0,Premium Economy,Airport Kiosk,Business,United
P1120,63,Female,Medium,Non-Member,Neutral,1,0,0.0,5.3,277.88,17.0,Premium Economy,Desk,Emergency,Southwest
P1121,75,Female,Medium,Non-Member,Satisfied,1,0,0.0,7.5,416.63,2.0,Economy,Desk,Business,United
P1122,57,Female,Medium,Non-Member,Neutral,1,0,0.0,5.9,246.31,11.0,Economy,Desk,Family,JetBlue
P1123,42,Female,Medium,Gold,Satisfied,1,0,0.0,6.6,265.91,1.0,Premium Economy,Desk,Business,American Airlines
P1124,43,Male,Low,Platinum,Neutral,1,0,0.0,6.0,132.64,19.0,Economy,Online,Family,Delta
P1125,72,Female,Low,Gold,Neutral,1,0,0.0,6.1,382.08,42.0,Economy,Mobile App,Business,American Airlines
P1126,57,Male,Low,Platinum,Satisfied,1,0,0.0,7.2,230.82,10.0,Economy,Airport Kiosk,Leisure,United
P1127,18,Male,High,Non-Member,Highly Satisfied,1,0,0.0,8.7,494.76,25.0,Premium Economy,Desk,Leisure,Southwest
P1128,42,Male,Medium,Non-Member,Satisfied,1,0,0.0,7.8,314.98,18.0,Premium Economy,Online,Business,United
P1129,52,Male,Medium,Non-Member,Highly Satisfied,1,0,0.0,9.2,150.83,5.0,Premium Economy,Desk,Business,Southwest
P113,62,Male,Medium,Platinum,Highly Satisfied,1,0,0.0,8.3,506.77,3.0,Business,Airport Kiosk,Family,Southwest
P1130,46,Female,Medium,Gold,Neutral,1,0,0.0,5.8,346.91,16.0,Economy,Desk,Business,American Airlines
P1131,49,Female,Medium,Non-Member,Highly Satisfied,1,0,0.0,8.5,333.71,12.0,Business,Online,Family,JetBlue
P1132,19,Male,High,Non-Member,Highly Satisfied,1,0,0.0,8.8,383.02,13.0,Premium Economy,Online,Business,JetBlue
P1133,31,Male,High,Gold,Dissatisfied,1,0,0.0,4.9,377.61,3.0,Premium Economy,Desk,Leisure,Delta
P1134,34,Female,Low,Silver,Highly Satisfied,1,0,0.0,8.5,406.27,5.0,Premium Economy,Airport Kiosk,Business,United
P1135,66,Female,Medium,Non-Member,Neutral,1,0,0.0,5.8,457.76,1.0,Business,Desk,Business,Southwest
P1136,21,Male,Medium,Non-Member,Neutral,1,0,0.0,5.0,298.88,3.0,Economy,Mobile App,Business,United
P1137,31,Female,Low,Gold,Satisfied,1,0,0.0,6.5,480.42,10.0,Economy,Online,Business,United
P1138,59,Female,High,Gold,Neutral,1,0,0.0,6.3,222.97,0.0,Economy,Airport Kiosk,Family,Southwest
P1139,50,Female,Medium,Silver,Satisfied,1,0,0.0,6.6,421.04,4.0,Premium Economy,Mobile App,Emergency,Delta
P114,29,Male,Medium,Gold,Highly Satisfied,1,0,0.0,9.5,329.48,7.0,Economy,Desk,Emergency,Delta
P1140,73,Female,Low,Non-Member,Dissatisfied,1,0,0.0,4.4,280.88,2.0,Economy,Mobile App,Family,United
P1141,40,Male,Low,Non-Member,Dissatisfied,1,0,0.0,4.3,329.79,1.0,Business,Mobile App,Business,American Airlines
P1142,60,Male,High,Silver,Satisfied,1,0,0.0,7.0,265.05,2.0,Economy,Desk,Business,Delta
P1143,26,Female,Medium,Non-Member,Neutral,1,0,0.0,6.3,359.02,6.0,Economy,Mobile App,Family,Southwest
P1144,51,Male,Low,Silver,Satisfied,1,0,0.0,6.7,325.11,5.0,Economy,Airport Kiosk,Business,Southwest
P1145,28,Female,High,Non-Member,Dissatisfied,1,0,0.0,4.5,387.23,1.0,Economy,Online,Emergency,Southwest
P1146,27,Female,Low,Silver,Neutral,1,0,0.0,6.3,348.79,35.0,Economy,Airport Kiosk,Business,JetBlue
P1147,78,Female,Low,Gold,Satisfied,1,0,0.0,6.5,371.79,4.0,Economy,Desk,Family,JetBlue
P1148,28,Female,Medium,Platinum,Neutral,1,0,0.0,6.4,345.65,4.0,Economy,Mobile App,Business,JetBlue
P1149,29,Female,Medium,Silver,Highly Satisfied,1,0,0.0,8.4,316.18,3.0,Economy,Airport Kiosk,Emergency,JetBlue
P115,63,Female,High,Non-Member,Satisfied,1,0,0.0,7.6,249.95,6.0,Premium Economy,Online,Business,JetBlue
P1150,65,Male,Medium,Gold,Highly Satisfied,1,0,0.0,8.3,233.42,0.0,Premium Economy,Airport Kiosk,Emergency,United
P1151,32,Male,Low,Non-Member,Highly Satisfied,1,0,0.0,8.1,469.88,11.0,Premium Economy,Mobile App,Leisure,Delta
P1152,69,Female,Low,Non-Member,Highly Satisfied,1,0,0.0,8.6,357.17,2.0,Business,Airport Kiosk,Emergency,Southwest
P1153,63,Male,Low,Non-Member,Neutral,1,0,0.0,5.2,412.13,7.0,Economy,Online,Business,JetBlue
P1154,53,Male,Low,Silver,Highly Satisfied,1,0,0.0,9.1,278.14,3.0,Economy,Desk,Family,Delta
P1155,56,Female,Low,Platinum,Satisfied,1,0,0.0,7.3,354.44,6.0,Premium Economy,Airport Kiosk,Business,JetBlue
P1156,57,Male,High,Platinum,Neutral,1,0,0.0,6.2,259.65,4.0,Business,Online,Business,American Airlines
P1157,19,Male,Medium,Non-Member,Satisfied,1,0,0.0,7.4,287.2,16.0,Economy,Online,Leisure,American Airlines
P1158,68,Male,High,Gold,Satisfied,1,0,0.0,7.8,301.84,4.0,Economy,Airport Kiosk,Family,JetBlue
P1159,77,Female,Medium,Gold,Satisfied,1,0,0.0,7.2,457.56,4.0,Economy,Online,Family,United
P116,71,Female,Medium,Silver,Satisfied,1,0,0.0,7.2,455.03,5.0,Business,Airport Kiosk,Business,JetBlue
P1160,67,Male,Medium,Non-Member,Highly Satisfied,1,0,0.0,8.2,352.75,7.0,Premium Economy,Online,Leisure,Delta
P1161,68,Male,High,Non-Member,Neutral,1,0,0.0,5.4,336.76,2.0,Economy,Online,Family,United
P1162,29,Female,Medium,Non-Member,Neutral,1,0,0.0,5.9,303.35,0.0,Economy,Mobile App,Emergency,American Airlines
P1163,22,Male,Medium,Non-Member,Satisfied,1,0,0.0,6.9,353.38,1.0,Economy,Airport Kiosk,Leisure,Delta
P1164,43,Female,Medium,Silver,Highly Satisfied,1,0,0.0,9.5,323.69,1.0,Business,Desk,Emergency,United
P1165,44,Male,Medium,Silver,Neutral,1,0,0.0,5.1,306.95,1.0,Economy,Mobile App,Emergency,Southwest
P1166,62,Male,Low,Silver,Dissatisfied,1,0,0.0,3.5,265.68,3.0,Economy,Online,Family,American Airlines
P1167,22,Female,Medium,Gold,Highly Satisfied,1,0,0.0,8.7,368.99,5.0,Economy,Online,Business,American Airlines
P1168,19,Male,Medium,Non-Member,Dissatisfied,1,0,0.0,4.3,230.95,9.0,Premium Economy,Desk,Leisure,Southwest
P1169,70,Female,Medium,Non-Member,Satisfied,1,0,0.0,7.4,279.48,3.0,Economy,Desk,Leisure,American Airlines
P117,54,Male,Low,Gold,Satisfied,1,1,1.0,7.6,300.33,3.0,Economy,Desk,Emergency,American Airlines
P1170,67,Female,High,Platinum,Highly Satisfied,1,1,1.0,8.3,314.7,1.0,Economy,Mobile App,Family,United
P1171,27,Female,Medium,Non-Member,Dissatisfied,1,0,0.0,4.2,226.84,8.0,Economy,Airport Kiosk,Leisure,Southwest
P1172,43,Female,Medium,Non-Member,Satisfied,1,0,0.0,6.6,381.24,13.0,Economy,Online,Emergency,Southwest
P1173,44,Female,Low,Platinum,Neutral,1,0,0.0,5.0,262.47,7.0,Economy,Airport Kiosk,Family,American Airlines
P1174,66,Male,Low,Silver,Neutral,1,0,0.0,6.1,224.61,20.0,Economy,Mobile App,Family,Delta
P1175,36,Female,High,Gold,Neutral,1,0,0.0,6.3,196.42,26.0,First,Desk,Business,Southwest
P1176,79,Female,Medium,Silver,Neutral,1,0,0.0,6.2,262.3,15.0,First,Mobile App,Family,Delta
P1177,52,Female,Low,Silver,Neutral,1,0,0.0,6.3,448.53,2.0,Premium Economy,Mobile App,Family,Southwest
P1178,26,Male,Medium,Gold,Satisfied,1,0,0.0,7.8,270.71,2.0,Premium Economy,Mobile App,Family,Southwest
P1179,75,Male,Low,Gold,Neutral,1,0,0.0,5.3,330.55,5.0,Premium Economy,Airport Kiosk,Business,United
P118,67,Female,Medium,Silver,Satisfied,1,1,1.0,7.4,363.47,0.0,Economy,Airport Kiosk,Leisure,Delta
P1180,79,Male,Medium,Non-Member,Neutral,1,0,0.0,5.4,467.51,0.0,Economy,Mobile App,Leisure,Delta
P1181,69,Female,Medium,Non-Member,Dissatisfied,1,0,0.0,4.5,301.97,9.0,Business,Airport Kiosk,Leisure,Delta
P1182,67,Female,High,Non-Member,Highly Satisfied,1,0,0.0,8.4,243.35,40.0,Economy,Airport Kiosk,Leisure,American Airlines
P1183,69,Male,Medium,Silver,Neutral,1,0,0.0,5.5,425.23,5.0,Premium Economy,Airport Kiosk,Business,JetBlue
P1184,22,Male,Low,Gold,Satisfied,1,0,0.0,6.8,227.94,2.0,Economy,Online,Emergency,American Airlines
P1185,22,Male,High,Non-Member,Satisfied,1,0,0.0,7.2,421.47,17.0,Economy,Desk,Business,Delta
P1186,50,Male,Low,Non-Member,Neutral,1,0,0.0,5.2,363.9,20.0,Premium Economy,Desk,Emergency,Southwest
P1187,32,Female,Medium,Non-Member,Neutral,1,0,0.0,6.3,428.61,19.0,Business,Mobile App,Business,Delta
P1188,26,Male,Low,Silver,Highly Satisfied,1,0,0.0,8.4,217.54,48.0,Economy,Airport Kiosk,Leisure,Southwest
P1189,52,Female,Low,Non-Member,Highly Satisfied,1,0,0.0,8.3,308.81,0.0,Premium Economy,Desk,Family,Delta
P119,26,Male,High,Gold,Neutral,1,0,0.0,5.6,151.12,9.0,Economy,Desk,Leisure,American Airlines
P1190,47,Male,High,Platinum,Highly Satisfied,1,0,0.0,9.0,360.25,4.0,Economy,Desk,Leisure,United
P1191,70,Male,High,Non-Member,Neutral,1,0,0.0,5.9,146.08,2.0,Premium Economy,Mobile App,Family,Southwest
P1192,70,Female,Low,Silver,Neutral,1,0,0.0,5.9,425.78,13.0,Economy,Desk,Family,American Airlines
P1193,78,Male,Low,Non-Member,Highly Satisfied,1,0,0.0,8.3,357.44,4.0,Economy,Mobile App,Leisure,JetBlue
P1194,25,Female,Medium,Silver,Dissatisfied,1,0,0.0,4.4,364.99,4.0,Economy,Desk,Leisure,United
P1195,53,Male,Low,Non-Member,Highly Satisfied,1,0,0.0,9.2,401.72,14.0,Economy,Airport Kiosk,Business,United
